locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Gdańsk Wrzeszcz,,4,139,2150000,15463,Oferta biura nieruchomości,ponad tydzień temu,20,https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-4-pokojowe-139-m2-u9y3b0,https://s2.adresowa.pl/oi/6a/67/3acfda_a56a_cover-4-pokojowe-mieszkanie-gdansk-wrzeszcz.jpg
Gdańsk Orunia,ul. Równa,3,71,699000,9915,Oferta biura nieruchomości,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-gdansk-orunia-ul-rowna-3-pokojowe-s8o1b2,https://s2.adresowa.pl/oi/58/78/3acfc6_593c_cover-3-pokojowe-mieszkanie-gdansk-orunia-ul-rowna.jpg
Gdańsk Śródmieście,ul. Szafarnia,2,67,1790000,26716,Bez pośredników,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-szafarnia-2-pokojowe-k1b3j0,https://s2.adresowa.pl/oi/25/22/3affea_b24d_cover-2-pokojowe-mieszkanie-gdansk-srodmiescie-ul-szafarnia.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Gdańsk Wrzeszcz,al. Grunwaldzka,2,51,850000,16667,Bez pośredników,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-al-grunwaldzka-2-pokojowe-v9e1x7,https://s2.adresowa.pl/oi/2f/30/3afe12_fcf2_cover-2-pokojowe-mieszkanie-gdansk-wrzeszcz-al-grunwaldzka.jpg
Gdańsk Ujeścisko,ul. Przemyska,3,60,965000,16083,Bez pośredników,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-gdansk-ujescisko-ul-przemyska-3-pokojowe-b7z3r8,https://s2.adresowa.pl/oi/1c/29/3afd52_5c96_cover-3-pokojowe-mieszkanie-gdansk-ujescisko-ul-przemyska.jpg
Gdańsk Przymorze,,2,43,639900,14813,Oferta biura nieruchomości,ponad tydzień temu,15,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-2-pokojowe-43-m2-t9e2t1,https://s2.adresowa.pl/oi/10/5b/3acd08_e4b8_cover-2-pokojowe-mieszkanie-gdansk-przymorze.jpg
Gdańsk Śródmieście,,1,34,963782,28280,Oferta biura nieruchomości,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-1-pokoj-34-m2-r6r5z7,https://s2.adresowa.pl/oi/5b/51/3acbc8_e300_cover-1-pokojowe-mieszkanie-gdansk-srodmiescie.jpg
Gdańsk Przymorze,,2,51,1100000,21569,Bez pośredników,ponad tydzień temu,4,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-2-pokojowe-51-m2-j4h6q9,https://s2.adresowa.pl/oi/5a/31/3afaa6_b83a_cover-2-pokojowe-mieszkanie-gdansk-przymorze.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Gdańsk Jasień,ul. prof. Jerzego Stankiewicza,1,29,440000,15002,Bez pośredników,ponad tydzień temu,5,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-prof-jerzego-stankiewicza-1-pokoj-z8f5x3,https://s2.adresowa.pl/oi/13/55/3af8b8_6368_cover-1-pokojowe-mieszkanie-gdansk-jasien-ul-prof-jerzego-stankiewicza.jpg
Gdańsk Łostowice,ul. Niepołomicka,2,45,729000,16075,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-gdansk-lostowice-ul-niepolomicka-2-pokojowe-r6s6p4,https://s2.adresowa.pl/oi/20/67/3af700_d960_cover-2-pokojowe-mieszkanie-gdansk-lostowice-ul-niepolomicka.jpg
