locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Katowice Koszutka,ul. Katowicka,1,31,296000,9457,Oferta biura nieruchomości,ponad miesiąc temu,20,https://adresowo.pl/o/mieszkanie-katowice-koszutka-ul-katowicka-1-pokoj-p9f9f8,https://s2.adresowa.pl/oi/3f/23/39b2e0_7602_cover-1-pokojowe-mieszkanie-katowice-koszutka-ul-katowicka.jpg
Katowice,ul. Starowiejska,2,31,399100,12874,Oferta biura nieruchomości,ponad miesiąc temu,7,https://adresowo.pl/o/mieszkanie-katowice-ul-starowiejska-2-pokojowe-t2m1p7,https://s2.adresowa.pl/oi/56/72/39aa22_daa0_cover-2-pokojowe-mieszkanie-katowice-ul-starowiejska.jpg
Katowice Śródmieście,ul. Mikołowska,3,50,419000,8380,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-katowice-srodmiescie-ul-mikolowska-3-pokojowe-s8z2w9,https://s2.adresowa.pl/oi/6d/26/3ad38a_33a4_cover-3-pokojowe-mieszkanie-katowice-srodmiescie-ul-mikolowska.jpg
Katowice os. Tysiąclecia,ul. Chorzowska,2,44,510000,11724,Bez pośredników,ponad tydzień temu,6,https://adresowo.pl/o/mieszkanie-katowice-os-tysiaclecia-ul-chorzowska-2-pokojowe-m3e1w8,https://s2.adresowa.pl/oi/43/35/3ad2ec_e5b3_cover-2-pokojowe-mieszkanie-katowice-os-tysiaclecia-ul-chorzowska.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Katowice Muchowiec,ul. Graniczna,3,56,470000,8390,Bez pośredników,ponad tydzień temu,14,https://adresowo.pl/o/mieszkanie-katowice-muchowiec-ul-graniczna-3-pokojowe-w6s3d5,https://s2.adresowa.pl/oi/34/2c/3ad294_f716_cover-3-pokojowe-mieszkanie-katowice-muchowiec-ul-graniczna.jpg
Katowice Śródmieście,ul. Starowiejska,2,28,346075,12360,Oferta biura nieruchomości,ponad miesiąc temu,6,https://adresowo.pl/o/mieszkanie-katowice-srodmiescie-ul-starowiejska-2-pokojowe-q0u7v5,https://s2.adresowa.pl/oi/48/2f/39aa1e_4f5d_cover-2-pokojowe-mieszkanie-katowice-srodmiescie-ul-starowiejska.jpg
Katowice Śródmieście,ul. Tadeusza Kościuszki,1,29,340000,11724,Oferta biura nieruchomości,ponad miesiąc temu,15,https://adresowo.pl/o/mieszkanie-katowice-srodmiescie-ul-tadeusza-kosciuszki-1-pokoj-o4l5m9,https://s2.adresowa.pl/oi/1d/36/39aa16_e9b1_cover-1-pokojowe-mieszkanie-katowice-srodmiescie-ul-tadeusza-kosciuszki.jpg
Katowice os. Witosa,ul. Macieja Rataja,2,49,425000,8734,Bez pośredników,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-katowice-os-witosa-ul-macieja-rataja-2-pokojowe-w9g6p0,https://s2.adresowa.pl/oi/3d/1a/3ad25e_596f_cover-2-pokojowe-mieszkanie-katowice-os-witosa-ul-macieja-rataja.jpg
Katowice Podlesie,ul. Sołtysia,3,56,659000,11768,Bez pośredników,ponad tydzień temu,15,https://adresowo.pl/o/mieszkanie-katowice-podlesie-ul-soltysia-3-pokojowe-s7v5w6,https://s2.adresowa.pl/oi/25/39/3ad234_db01_cover-3-pokojowe-mieszkanie-katowice-podlesie-ul-soltysia.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Katowice Burowiec,ul. Przedwiośnie,2,37,369000,9973,Bez pośredników,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-katowice-burowiec-ul-przedwiosnie-2-pokojowe-f3z1g0,https://s2.adresowa.pl/oi/36/2c/3ad1a2_d63c_cover-2-pokojowe-mieszkanie-katowice-burowiec-ul-przedwiosnie.jpg
Katowice Szopienice,ul. Wiosny Ludów,2,38,225000,5921,Oferta biura nieruchomości,ponad miesiąc temu,4,https://adresowo.pl/o/mieszkanie-katowice-szopienice-ul-wiosny-ludow-2-pokojowe-r2p4r2,https://s2.adresowa.pl/oi/52/19/398ae6_76f6_cover-2-pokojowe-mieszkanie-katowice-szopienice-ul-wiosny-ludow.jpg
Katowice Ochojec,ul. Jaworowa,2,56,670000,11930,Oferta biura nieruchomości,ponad miesiąc temu,18,https://adresowo.pl/o/mieszkanie-katowice-ochojec-ul-jaworowa-2-pokojowe-o7f9l6,https://s2.adresowa.pl/oi/46/21/397d14_c26c_cover-2-pokojowe-mieszkanie-katowice-ochojec-ul-jaworowa.jpg
Katowice Śródmieście,,2,31,415000,13452,Bez pośredników,ponad tydzień temu,6,https://adresowo.pl/o/mieszkanie-katowice-srodmiescie-2-pokojowe-30-m2-v7o6s8,https://s2.adresowa.pl/oi/3e/49/3acf12_9f9e_cover-2-pokojowe-mieszkanie-katowice-srodmiescie.jpg
Katowice os. Witosa,ul. Michała Ossowskiego,2,54,459000,8579,Bez pośredników,ponad tydzień temu,17,https://adresowo.pl/o/mieszkanie-katowice-os-witosa-ul-michala-ossowskiego-2-pokojowe-n6v6g2,https://s2.adresowa.pl/oi/38/1e/3acda8_c1fb_cover-2-pokojowe-mieszkanie-katowice-os-witosa-ul-michala-ossowskiego.jpg
Katowice Śródmieście,al. Wojciecha Korfantego,3,46,469000,10108,Bez pośredników,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-katowice-srodmiescie-al-wojciecha-korfantego-3-pokojowe-v1k3j5,https://s2.adresowa.pl/oi/5b/53/3acd7c_e3c5_cover-3-pokojowe-mieszkanie-katowice-srodmiescie-al-wojciecha-korfantego.jpg
,,,,,,Pośrednik,,,,
